;NB: Only BLUE CELLS are editable!;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;GALACTIC CHARACTERISTICS;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Galactic Radius;52 000;ly;ℹ;;;;;;;;;;;;;;;;;;;;;
;Galactic Habitable Zone;24440 - 31200;ly;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;STELLAR NEIGHBOURHOOD;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Location;26 800;ly;ℹ;;;;;;;;;;;;;;;;;;;;;
;Radius;10;ly;ℹ;;;;;;;;;;;;;;;;;;;;;
;Stellar Density;0,003;stars/ly³;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Stellar Mass Objects in Stellar Neighbourhood;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;TYPE;CLASS;NUMBER;;;;;;;;;;;;;;;;;;;;;;
;Main Sequence Stars;O;0;ℹ;;;;;;;;;;;;;;;;;;;;;
;;B;0;;;;;;;;;;;;;;;;;;;;;;
;;A;0;;;;;;;;;;;;;;;;;;;;;;
;;F;0;;;;;;;;;;;;;;;;;;;;;;
;;G;1;;;;;;;;;;;;;;;;;;;;;;
;;K;1;;;;;;;;;;;;;;;;;;;;;;
;;M;9;;;;;;;;;;;;;;;;;;;;;;
;White Dwarfs;D;1;ℹ;;;;;;;;;;;;;;;;;;;;;
;Brown Dwarfs;L/T/Y;5;ℹ;;;;;;;;;;;;;;;;;;;;;
;Other Stellar Mass Objects;-;0;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Total Stellar Mass Objects in Stellar Neighbourhood;;17;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Stars Systems in Stellar Neighbourhood;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;TYPE;;NUMBER;;;;;;;;;;;;;;;;;;;;;;
;Single Star Systems;;6;ℹ;;;;;;;;;;;;;;;;;;;;;
;Binary Star Systems;;4;;;;;;;;;;;;;;;;;;;;;;
;Triple Star Systems;;1;;;;;;;;;;;;;;;;;;;;;;
;≥ Quadruple Star Systems;;0;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Total Star Systems in Stellar Neighbourhood;;11;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Star System Coordinate Generator;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Random Seed;4,16776E+12;;ℹ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;STAR SYSTEM NAME;COORDINATES (x, y, z);;;DISTANCE FROM HOME;;;;;;;;;;;;;;;;;;;;
;Home Star System;(0, 0, 0);;ℹ;0;ly;ℹ;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(-2,18, 2,51, -8,31);;ℹ;8,95;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(6,49, 4,5, 3,64);;;8,69;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(7,48, -4,2, 2,08);;;8,83;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(-1,79, 3,41, 3,68);;;5,32;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(-1,53, -5,29, 8,16);;;9,84;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(-5,64, -1,37, 5,47);;;7,97;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(-3,14, -6,78, -4,46);;;8,70;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(4,24, -2,29, -5,65);;;7,43;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(5,87, -2,17, 2,73);;;6,83;ly;;;;;;;;;;;;;;;;;;;
;#ИМЯ?;(-4,76, 2,51, -8,07);;;9,70;ly;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
