;NB: Only BLUE CELLS are editable!;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;CLASSICAL PLANETARY SYSTEM;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Mass;1,072;Msol;ℹ;2,13221E+30;kg;;;;;;;;;;;;;;;;;;;;
;Star Luminosity;1,321;Lsol;ℹ;5,05535E+26;W;;;;;;;;;;;;;;;;;;;;
;Star Radius;1,040;Rsol;ℹ;724 490;km;;;;;;;;;;;;;;;;;;;;
;Star Density;0,952;Dsol;ℹ;1,340183779;g/cm³;;;;;;;;;;;;;;;;;;;;
;Habitable Zone (Inner);1,096;AU;ℹ;163,92;million km;;;;;;;;;;;;;;;;;;;;
;Habitable Zone (Outer);1,579;AU;ℹ;236,15;million km;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Frost Line;5,574;AU;ℹ;833,801943;million km;;;;;;;;;;;;;;;;;;;;
;Spacing Factor;0,3;;ℹ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;System Inner Limit;0,0075;AU;ℹ;1,12;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 1;0,8;AU;ℹ;119,68;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 2;1,10;AU;ℹ;164,56;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 3;1,40;AU;;209,44;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 4;2,00;AU;;299,20;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 5;3,20;AU;;478,72;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 6;5,60;AU;;837,76;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 7;10,40;AU;;1 555,84;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 8;20,00;AU;;2 992,00;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 9;39,20;AU;;5 864,32;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 10;77,60;AU;;11 608,96;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 11;154,40;AU;;23 098,24;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 12;308,00;AU;;46 076,80;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 13;615,20;AU;;92 033,92;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 14;1229,60;AU;;183 948,16;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 15;2458,40;AU;;367 776,64;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 16;4916,00;AU;;735 433,60;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 17;9831,20;AU;;1 470 747,52;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 18;19661,60;AU;;2 941 375,36;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 19;39322,40;AU;;5 882 631,04;million km;;;;;;;;;;;;;;;;;;;;
;Orbit 20;78644,00;AU;;11 765 142,40;million km;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Outermost Gas Giant;30,07;AU;ℹ;4 498,47;million km;;;;;;;;;;;;;;;;;;;;
;Debris Disk;39,4 - 47,73;AU;ℹ;5894,67 - 7140,88;million km;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
