;NB: Only Light Blue Cells are Editable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Mass;1,000;Msol;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Luminosity;1,000;Lsol;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Radius;1,000;Rsol;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Star Magnitude;4,81;M;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;STAR APPARENT BRIGHTNESS & SIZE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(As viewed from each of the planets in your system);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Planets;Semi-major axis;Magnitude;Brightness;Apparent Size;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;HOME;1,000;-26,76;1,0000;1,000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mercury;0,387;-28,82;6,6742;2,583;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Venus;0,723;-27,47;1,9113;1,382;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mars;1,524;-25,85;0,4307;0,656;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jupiter;5,204;-23,18;0,0369;0,192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saturn;9,583;-21,85;0,0109;0,104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uranus;19,191;-20,35;0,0027;0,052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Neptune;30,070;-19,37;0,0011;0,033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pluto;39,482;-18,78;0,0006;0,025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PLANETS APPARENT BRIGHTNESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(As viewed from your home world);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;General;Current;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Planet;Albedo (Geometric);Radius;Atmosphere;Distance (from HOME);Min;Max;Naked eye planet?;Apparent Magnitude;Observable?;Visibility/brightness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mercury;0,142;0,383;ЛОЖЬ;1,370;0,613;1,387;Yes;-1,39;Too close to star;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Venus;0,689;0,950;ИСТИНА;0,400;0,277;1,723;Yes;-4,10;In twilight;Naked eye (very bright);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mars;0,170;0,533;ИСТИНА;2,400;0,524;2,524;Yes;+1,22;In twilight;Naked eye (bright);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jupiter;0,538;10,973;ИСТИНА;5,000;4,204;6,204;Yes;-2,29;At night;Naked eye (very bright);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Saturn;0,499;9,140;ИСТИНА;9,000;8,583;10,583;Yes;+0,73;At night;Naked eye (bright);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uranus;0,488;4,007;ИСТИНА;19,000;18,191;20,191;Maybe;+5,67;At night;Possibly with naked eye;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Neptune;0,422;3,883;ИСТИНА;30,000;29,070;31,070;No;+7,86;At night;With telescope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pluto;0,575;0,187;ЛОЖЬ;38,800;38,482;40,482;No;+15,40;At night;With telescope;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MOON APPARENT SIZE AND BRIGHTNESS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;(As viewed from the home world);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Semi-Major Axis;384 748;km;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Radius;1,000;Rmoon;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Albedo (Geometric);0,113;;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Phase;0;º;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Absolute Magnitude;0,28;;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Apparent Magnitude;-12,67;;ℹ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
